	34
1	2
100	1
1500	1
18	1
1861	1
1a	1
1b	1
1c	2
1d	1
1e	2
1e1	5
1e2	1
1e3	1
1e4	1
1e5	1
1e6	1
1e7	3
1e8	4
1e9	3
1f	1
1f1	1
1f2	1
1f3	4
1f4	1
1f5	1
1f6	1
2	4
20	2
2001	1
20th	1
3	3
30	1
4	3
4557	1
5	1
50	1
5000	1
501c3	2
5148txt	1
5148zip	1
5961887	1
60	1
646221541	1
76	1
7th	1
801	1
809	1
84116	1
90	2
99712	1
a	4507
aback	1
abandon	2
abase	1
abashed	6
abbey	1
abdicate	1
abed	2
abeggin	1
abide	1
abject	3
able	14
aboard	2
abominable	4
abominably	2
about	465
above	20
abroad	17
abroady	1
abrupt	2
abruptly	6
abruptness	1
absence	7
absent	6
absently	5
absentminded	5
absorb	2
absorbed	28
absorbing	2
abstinence	1
abstracted	1
absurd	13
absurdities	1
absurdity	1
abundant	2
abuse	1
abused	1
abuses	1
accent	5
accept	15
acceptance	1
accepted	14
accepting	4
access	10
accessed	1
accessible	1
accident	7
accidently	1
accidents	4
accompanied	5
accompaniment	2
accomplish	2
accomplished	12
accomplishment	2
accomplishments	7
accordance	2
accordin	1
according	6
accordingly	2
account	12
accounted	2
accounts	7
accumulate	1
accuracy	1
accurate	2
accused	3
accustomed	5
ach	2
ache	3
ached	4
aches	3
aching	6
acid	1
acknowledge	2
acknowledged	1
acknowledgement	1
acknowledging	1
acknowledgment	1
acold	1
acorn	1
acorns	2
acquaintance	5
acquaintances	3
acquainted	3
acquiesced	1
across	20
acryin	1
act	23
acted	6
acting	3
action	2
actions	2
active	7
actor	1
actors	3
actress	2
acts	2
actual	2
actually	20
ad	1
add	9
added	82
adding	15
addition	4
additional	4
additions	1
address	5
addressed	1
addresses	1
addressing	1
adelon	2
adhered	1
adieu	3
adieux	2
adjoining	1
adjourn	1
adjourned	2
adjournment	1
administered	3
administers	1
admirable	2
admiration	13
admire	14
admired	18
admirers	2
admiring	10
admission	3
admittance	1
admitted	1
admonitory	1
adopt	2
adopted	2
adoration	2
adore	3
adored	4
adoring	1
adorned	11
adrift	1
advanced	1
advancing	1
advantage	3
advantages	1
adventure	2
adventures	9
adventurous	2
adversity	1
advertise	1
advertisements	2
advice	26
advise	7
advised	8
advisers	1
advising	1
afar	3
affability	1
affable	2
affably	2
affair	8
affairs	12
affect	3
affectation	3
affectations	2
affected	12
affectedly	1
affecting	1
affection	10
affectionate	11
affectionately	2
affections	6
affects	1
affianced	1
affirms	1
afflatus	1
afflicted	7
affliction	9
afflictions	2
afford	5
afforded	3
afghan	3
afire	3
afore	1
aforesaid	2
afraid	80
afraidlaurie	1
afresh	2
africa	1
after	257
afternoon	32
afternoons	5
aftertriumphs	1
afterward	24
again	160
against	40
age	18
aged	1
agent	1
ages	3
aggravated	3
aggravating	1
aggressor	1
aggrieved	1
agility	1
agitated	3
agitation	1
ago	31
agonies	1
agonizing	1
agony	1
agree	26
agreeable	22
agreeably	1
agreed	16
agreement	18
agrees	2
agricultural	1
agriculture	1
ah	25
ahead	1
ahem	1
ahs	1
aid	3
aides	1
aim	1
aimlessly	1
aint	11
air	111
airily	1
airing	4
airlove	1
airs	12
airy	5
aisles	1
aisy	2
ak	1
akimbo	1
alacrity	2
alarm	2
alarmed	5
alarming	2
alarmingly	2
alas	6
alcibiades	1
alcott	1
alcove	1
alders	1
alee	1
algebra	1
alighted	1
alighting	1
alike	4
alive	7
all	872
allabsorbing	2
allayed	1
allegory	1
allen	1
allimportant	1
allow	14
allowed	29
allows	1
allperfect	1
alls	1
allthe	2
allude	2
alluded	4
alluding	1
allumettes	1
allusion	1
allyluyer	1
almonds	1
almost	31
aloft	2
